gate,friction,yield,onFrontier,isKnee
"",0,0,1,0
"security-headers",0.002,3.1,1,0
"storage-rules",60.002,2.077,0,0
"security-headers|storage-rules",60.004,5.177,1,0
"client-secret:auto-move",0.017,0.9,0,0
"security-headers|client-secret:auto-move",0.019,4,1,1
"storage-rules|client-secret:auto-move",60.019,2.977,0,0
"security-headers|storage-rules|client-secret:auto-move",60.021,6.077,1,0
"cors-tighten",90.009,0,0,0
"security-headers|cors-tighten",90.011,3.1,0,0
"storage-rules|cors-tighten",150.011,2.077,0,0
"security-headers|storage-rules|cors-tighten",150.013,5.177,0,0
"client-secret:auto-move|cors-tighten",90.026,0.9,0,0
"security-headers|client-secret:auto-move|cors-tighten",90.028,4,0,0
"storage-rules|client-secret:auto-move|cors-tighten",150.028,2.977,0,0
"security-headers|storage-rules|client-secret:auto-move|cors-tighten",150.03,6.077,0,0
"endpoint-auth",90.004,0,0,0
"security-headers|endpoint-auth",90.006,3.1,0,0
"storage-rules|endpoint-auth",150.006,2.077,0,0
"security-headers|storage-rules|endpoint-auth",150.008,5.177,0,0
"client-secret:auto-move|endpoint-auth",90.021,0.9,0,0
"security-headers|client-secret:auto-move|endpoint-auth",90.023,4,0,0
"storage-rules|client-secret:auto-move|endpoint-auth",150.023,2.977,0,0
"security-headers|storage-rules|client-secret:auto-move|endpoint-auth",150.025,6.077,0,0
"cors-tighten|endpoint-auth",180.013,0,0,0
"security-headers|cors-tighten|endpoint-auth",180.015,3.1,0,0
"storage-rules|cors-tighten|endpoint-auth",240.015,2.077,0,0
"security-headers|storage-rules|cors-tighten|endpoint-auth",240.017,5.177,0,0
"client-secret:auto-move|cors-tighten|endpoint-auth",180.03,0.9,0,0
"security-headers|client-secret:auto-move|cors-tighten|endpoint-auth",180.032,4,0,0
"storage-rules|client-secret:auto-move|cors-tighten|endpoint-auth",240.032,2.977,0,0
"security-headers|storage-rules|client-secret:auto-move|cors-tighten|endpoint-auth",240.034,6.077,0,0
